line,part_number,part_number_description,images,attributes
SYL,3496LLBP,3496 Long Life Incandescent Mini Bulb (Pack of 2),"'{""syl/3496llbp_01_001.jpg"",""syl/3496llbp_01_002.jpg"",""syl/3496llbp_01_003.jpg"",""syl/3496llbp_01_004.jpg"",""syl/3496llbp_01_005.jpg"",""syl/3496llbp_01_006.jpg"",""syl/3496llbp_01_007.jpg"",""syl/3496llbp_01_008.jpg"",""syl/3496llbp_01_009.jpg"",""syl/3496llbp_01_010.jpg"",""syl/3496llbp_01_011.jpg"",""syl/3496llbp_01_012.jpg"",""syl/3496llbp_01_013.jpg"",""syl/3496llbp_01_014.jpg"",""syl/3496llbp_01_015.jpg"",""syl/3496llbp_01_016.jpg"",""syl/3496llbp_01_017.jpg"",""syl/3496llbp_01_018.jpg"",""syl/3496llbp_01_019.jpg"",""syl/3496llbp_01_020.jpg"",""syl/3496llbp_01_021.jpg"",""syl/3496llbp_01_022.jpg"",""syl/3496llbp_01_023.jpg"",""syl/3496llbp_01_024.jpg"",""syl/sylvania-3496-ll-bp2-dtp-es-04.jpg"",""syl/sylvania-3496-ll-bp2-mtf-es-03.jpg"",""syl/sylvania-3496-ll-bp2-prm-es-01.jpg"",""syl/sylvania-3496-ll-bp2-wty-es-05.jpg""}'","[{""Street Legal"" : ""Yes""}, {""Base Type"" : ""BA15d""}, {""Industry Number"" : ""3496""}, {""Light Output (Lumens)"" : ""540 Lumen""}, {""Overall Length (in)"" : ""2 Inch""}, {""Number Of Filaments"" : ""2""}, {""Amperage (A)"" : ""0.59, 1.1 Amp""}, {""Color"" : ""Clear""}, {""Bulb Type"" : ""Incandescent""}, {""Bulb Diameter (in)"" : ""3/4 Inch""}, {""Voltage (V)"" : ""12.8, 14 Volt""}, {""Color Temperature (Kelvin)"" : ""2800K""}, {""Wattage (W)"" : ""8.3, 14.1 Watt""}, {""Bulb Family"" : ""T6""}, {""Light Center Length (in)"" : ""1-1/4 Inch""}]"
SYL,3497LLBP,3497 Long Life Incandescent Mini Bulb (Pack of 2),"'{""syl/3497llbp_01_001.jpg"",""syl/3497llbp_01_002.jpg"",""syl/3497llbp_01_003.jpg"",""syl/3497llbp_01_004.jpg"",""syl/3497llbp_01_005.jpg"",""syl/3497llbp_01_006.jpg"",""syl/3497llbp_01_007.jpg"",""syl/3497llbp_01_008.jpg"",""syl/3497llbp_01_009.jpg"",""syl/3497llbp_01_010.jpg"",""syl/3497llbp_01_011.jpg"",""syl/3497llbp_01_012.jpg"",""syl/3497llbp_01_013.jpg"",""syl/3497llbp_01_014.jpg"",""syl/3497llbp_01_015.jpg"",""syl/3497llbp_01_016.jpg"",""syl/3497llbp_01_017.jpg"",""syl/3497llbp_01_018.jpg"",""syl/3497llbp_01_019.jpg"",""syl/3497llbp_01_020.jpg"",""syl/3497llbp_01_021.jpg"",""syl/3497llbp_01_022.jpg"",""syl/3497llbp_01_023.jpg"",""syl/3497llbp_01_024.jpg"",""syl/sylvania-3497-ll-bp2-dtp-es-04.jpg"",""syl/sylvania-3497-ll-bp2-mtf-es-03.jpg"",""syl/sylvania-3497-ll-bp2-prm-es-01.jpg"",""syl/sylvania-3497-ll-bp2-wty-es-05.jpg""}'","[{""Bulb Family"" : ""T6""}, {""Voltage (V)"" : ""12.8 Volt""}, {""Light Center Length (in)"" : ""1-1/4 Inch""}, {""Industry Number"" : ""3497""}, {""Amperage (A)"" : ""2.1 Amp""}, {""Bulb Type"" : ""Incandescent""}, {""Base Type"" : ""BAY15s""}, {""Light Output (Lumens)"" : ""565 Lumen""}, {""Color Temperature (Kelvin)"" : ""2800K""}, {""Wattage (W)"" : ""26.88 Watt""}, {""Overall Length (mm)"" : ""51mm""}, {""Color"" : ""Clear""}, {""Overall Length (in)"" : ""2 Inch""}, {""Street Legal"" : ""Yes""}, {""Bulb Diameter (in)"" : ""13/16 Inch""}, {""Bulb Diameter (mm)"" : ""21mm""}, {""Number Of Filaments"" : ""1""}]"
SYL,3652LLBP,3652 Long Life Incandescent Mini Bulb (Pack of 2),"'{""syl/3652llbp_01_001.jpg"",""syl/3652llbp_01_002.jpg"",""syl/3652llbp_01_003.jpg"",""syl/3652llbp_01_004.jpg"",""syl/3652llbp_01_005.jpg"",""syl/3652llbp_01_006.jpg"",""syl/3652llbp_01_007.jpg"",""syl/3652llbp_01_008.jpg"",""syl/3652llbp_01_009.jpg"",""syl/3652llbp_01_010.jpg"",""syl/3652llbp_01_011.jpg"",""syl/3652llbp_01_012.jpg"",""syl/3652llbp_01_013.jpg"",""syl/3652llbp_01_014.jpg"",""syl/3652llbp_01_015.jpg"",""syl/3652llbp_01_016.jpg"",""syl/3652llbp_01_017.jpg"",""syl/3652llbp_01_018.jpg"",""syl/3652llbp_01_019.jpg"",""syl/3652llbp_01_020.jpg"",""syl/3652llbp_01_021.jpg"",""syl/3652llbp_01_022.jpg"",""syl/3652llbp_01_023.jpg"",""syl/3652llbp_01_024.jpg"",""syl/sylvania-3652-ll-bp2-dtp-es-04.jpg"",""syl/sylvania-3652-ll-bp2-mtf-es-03.jpg"",""syl/sylvania-3652-ll-bp2-prm-es-01.jpg"",""syl/sylvania-3652-ll-bp2-wty-es-05.jpg""}'","[{""Bulb Diameter (in)"" : ""7/16 Inch""}, {""Industry Number"" : ""3652""}, {""Light Output (Lumens)"" : ""75 Lumen""}, {""Wattage (W)"" : ""5 Watt""}, {""Package Quantity"" : ""2""}, {""Number Of Filaments"" : ""1""}, {""Bulb Type"" : ""Incandescent""}, {""Color Temperature (Kelvin)"" : ""2800K""}, {""Street Legal"" : ""Yes""}, {""Voltage (V)"" : ""13.5 Volt""}, {""Bulb Family"" : ""S8""}, {""Color"" : ""Clear""}, {""Overall Length (in)"" : ""1-1/16 Inch""}, {""Amperage (A)"" : ""0.37 Amp""}, {""Light Center Length (in)"" : ""1/2 Inch""}, {""Base Type"" : ""Wedge""}]"
SYL,3757ALLBP,3757A Amber Long Life Incandescent Mini Bulb (Pack of 2),"'{""syl/3757allbp_01_001.jpg"",""syl/3757allbp_01_002.jpg"",""syl/3757allbp_01_003.jpg"",""syl/3757allbp_01_004.jpg"",""syl/3757allbp_01_005.jpg"",""syl/3757allbp_01_006.jpg"",""syl/3757allbp_01_007.jpg"",""syl/3757allbp_01_008.jpg"",""syl/3757allbp_01_009.jpg"",""syl/3757allbp_01_010.jpg"",""syl/3757allbp_01_011.jpg"",""syl/3757allbp_01_012.jpg"",""syl/3757allbp_01_013.jpg"",""syl/3757allbp_01_014.jpg"",""syl/3757allbp_01_015.jpg"",""syl/3757allbp_01_016.jpg"",""syl/3757allbp_01_017.jpg"",""syl/3757allbp_01_018.jpg"",""syl/3757allbp_01_019.jpg"",""syl/3757allbp_01_020.jpg"",""syl/3757allbp_01_021.jpg"",""syl/3757allbp_01_022.jpg"",""syl/3757allbp_01_023.jpg"",""syl/3757allbp_01_024.jpg"",""syl/sylvania-3757a-ll-bp2-bop-es-02.jpg"",""syl/sylvania-3757a-ll-bp2-dtp-es-04.jpg"",""syl/sylvania-3757a-ll-bp2-mtf-es-03.jpg"",""syl/sylvania-3757a-ll-bp2-prm-es-01.jpg"",""syl/sylvania-3757a-ll-bp2-wty-es-05.jpg""}'","[{""Overall Length (in)"" : ""2-1/16 Inch""}, {""Amperage (A)"" : ""13.5 Amp""}, {""Bulb Diameter (in)"" : ""1 Inch""}, {""Light Center Length (in)"" : ""1-1/8 Inch""}, {""Industry Number"" : ""3757A""}, {""Light Output (Lumens)"" : ""280 Lumen""}, {""Number Of Filaments"" : ""2""}, {""Color Temperature (Kelvin)"" : ""2800K""}, {""Base Type"" : ""WX2.5X16q""}, {""Bulb Type"" : ""Incandescent""}, {""Color"" : ""Amber""}, {""Bulb Family"" : ""AUX""}, {""Wattage (W)"" : ""2.16, 0.57 Watt""}, {""Voltage (V)"" : ""29.2, 7.7 Volt""}, {""Street Legal"" : ""Yes""}]"
SYL,37LLBP,37 Long Life Incandescent Mini Bulb (Pack of 2),"'{""syl/37llbp_01_001.jpg"",""syl/37llbp_01_002.jpg"",""syl/37llbp_01_003.jpg"",""syl/37llbp_01_004.jpg"",""syl/37llbp_01_005.jpg"",""syl/37llbp_01_006.jpg"",""syl/37llbp_01_007.jpg"",""syl/37llbp_01_008.jpg"",""syl/37llbp_01_009.jpg"",""syl/37llbp_01_010.jpg"",""syl/37llbp_01_011.jpg"",""syl/37llbp_01_012.jpg"",""syl/37llbp_01_013.jpg"",""syl/37llbp_01_014.jpg"",""syl/37llbp_01_015.jpg"",""syl/37llbp_01_016.jpg"",""syl/37llbp_01_017.jpg"",""syl/37llbp_01_018.jpg"",""syl/37llbp_01_019.jpg"",""syl/37llbp_01_020.jpg"",""syl/37llbp_01_021.jpg"",""syl/37llbp_01_022.jpg"",""syl/37llbp_01_023.jpg"",""syl/37llbp_01_024.jpg"",""syl/sylvania-37-ll-bp2-bop-es-02.jpg"",""syl/sylvania-37-ll-bp2-dtp-es-04.jpg"",""syl/sylvania-37-ll-bp2-mtf-es-03.jpg"",""syl/sylvania-37-ll-bp2-prm-es-01.jpg"",""syl/sylvania-37-ll-bp2-wty-es-05.jpg""}'","[{""Bulb Type"" : ""Incandescent""}, {""Color"" : ""Clear""}, {""Base Type"" : ""W2.1X4.9d""}, {""Street Legal"" : ""Yes""}, {""Number Of Filaments"" : ""1""}, {""Bulb Diameter (in)"" : ""1/4 Inch""}, {""Voltage (V)"" : ""14 Volt""}, {""Bulb Family"" : ""T1""}, {""Wattage (W)"" : ""1.26 Watt""}, {""Amperage (A)"" : ""0.09 Amp""}]"
SYL,3893LLBP,3893 Long Life Incandescent Mini Bulb (Pack of 2),"'{""syl/3893llbp_01_001.jpg"",""syl/3893llbp_01_002.jpg"",""syl/3893llbp_01_003.jpg"",""syl/3893llbp_01_004.jpg"",""syl/3893llbp_01_005.jpg"",""syl/3893llbp_01_006.jpg"",""syl/3893llbp_01_007.jpg"",""syl/3893llbp_01_008.jpg"",""syl/3893llbp_01_009.jpg"",""syl/3893llbp_01_010.jpg"",""syl/3893llbp_01_011.jpg"",""syl/3893llbp_01_012.jpg"",""syl/3893llbp_01_013.jpg"",""syl/3893llbp_01_014.jpg"",""syl/3893llbp_01_015.jpg"",""syl/3893llbp_01_016.jpg"",""syl/3893llbp_01_017.jpg"",""syl/3893llbp_01_018.jpg"",""syl/3893llbp_01_019.jpg"",""syl/3893llbp_01_020.jpg"",""syl/3893llbp_01_021.jpg"",""syl/3893llbp_01_022.jpg"",""syl/3893llbp_01_023.jpg"",""syl/3893llbp_01_024.jpg"",""syl/sylvania-3893-ll-bp2-dtp-es-04.jpg"",""syl/sylvania-3893-ll-bp2-mtf-es-03.jpg"",""syl/sylvania-3893-ll-bp2-prm-es-01.jpg"",""syl/sylvania-3893-ll-bp2-wty-es-05.jpg""}'","[{""Overall Length (in)"" : ""1-1/16 Inch""}, {""Bulb Diameter (in)"" : ""3/8 Inch""}, {""Light Output (Lumens)"" : ""35 Lumen""}, {""Bulb Type"" : ""Incandescent""}, {""Number Of Filaments"" : ""1""}, {""Wattage (W)"" : ""4 Watt""}, {""Voltage (V)"" : ""12 Volt""}, {""Base Type"" : ""BA9s""}, {""Amperage (A)"" : ""0.33 Amp""}, {""Color"" : ""Clear""}, {""Bulb Family"" : ""T2""}, {""Street Legal"" : ""Yes""}, {""Industry Number"" : ""3893""}, {""Color Temperature (Kelvin)"" : ""2800K""}, {""Light Center Length (in)"" : ""9/16 Inch""}]"
SYL,4057LLBP,4057 Long Life Incandescent Mini Bulb (Pack of 2),"'{""syl/4057llbp_01_001.jpg"",""syl/4057llbp_01_002.jpg"",""syl/4057llbp_01_003.jpg"",""syl/4057llbp_01_004.jpg"",""syl/4057llbp_01_005.jpg"",""syl/4057llbp_01_006.jpg"",""syl/4057llbp_01_007.jpg"",""syl/4057llbp_01_008.jpg"",""syl/4057llbp_01_009.jpg"",""syl/4057llbp_01_010.jpg"",""syl/4057llbp_01_011.jpg"",""syl/4057llbp_01_012.jpg"",""syl/4057llbp_01_013.jpg"",""syl/4057llbp_01_014.jpg"",""syl/4057llbp_01_015.jpg"",""syl/4057llbp_01_016.jpg"",""syl/4057llbp_01_017.jpg"",""syl/4057llbp_01_018.jpg"",""syl/4057llbp_01_019.jpg"",""syl/4057llbp_01_020.jpg"",""syl/4057llbp_01_021.jpg"",""syl/4057llbp_01_022.jpg"",""syl/4057llbp_01_023.jpg"",""syl/4057llbp_01_024.jpg"",""syl/sylvania-4057-ll-bp2-bop-es-02.jpg"",""syl/sylvania-4057-ll-bp2-dtp-es-04.jpg"",""syl/sylvania-4057-ll-bp2-mtf-es-03.jpg"",""syl/sylvania-4057-ll-bp2-prm-es-01.jpg"",""syl/sylvania-4057-ll-bp2-wty-es-05.jpg""}'","[{""Light Center Length (in)"" : ""1-1/8 Inch""}, {""Voltage (V)"" : ""12.8, 14 Volt""}, {""Bulb Type"" : ""Incandescent""}, {""Base Type"" : ""W2.5x16q""}, {""Color Temperature (Kelvin)"" : ""2800K""}, {""Bulb Family"" : ""S8""}, {""Street Legal"" : ""Yes""}, {""Bulb Diameter (mm)"" : ""25mm""}, {""Color"" : ""Clear""}, {""Overall Length (mm)"" : ""52mm""}, {""Number Of Filaments"" : ""2""}, {""Light Output (Lumens)"" : ""402 Lumen""}, {""Overall Length (in)"" : ""2-1/16 Inch""}, {""Wattage (W)"" : ""6.7, 28.5 Watt""}, {""Amperage (A)"" : ""0.48, 2.23 Amp""}, {""Bulb Diameter (in)"" : ""1 Inch""}, {""Industry Number"" : ""4057""}]"
SYL,4114LLBP,4114 Long Life Incandescent Mini Bulb (Pack of 2),"'{""syl/4114llbp_01_001.jpg"",""syl/4114llbp_01_002.jpg"",""syl/4114llbp_01_003.jpg"",""syl/4114llbp_01_004.jpg"",""syl/4114llbp_01_005.jpg"",""syl/4114llbp_01_006.jpg"",""syl/4114llbp_01_007.jpg"",""syl/4114llbp_01_008.jpg"",""syl/4114llbp_01_009.jpg"",""syl/4114llbp_01_010.jpg"",""syl/4114llbp_01_011.jpg"",""syl/4114llbp_01_012.jpg"",""syl/4114llbp_01_013.jpg"",""syl/4114llbp_01_014.jpg"",""syl/4114llbp_01_015.jpg"",""syl/4114llbp_01_016.jpg"",""syl/4114llbp_01_017.jpg"",""syl/4114llbp_01_018.jpg"",""syl/4114llbp_01_019.jpg"",""syl/4114llbp_01_020.jpg"",""syl/4114llbp_01_021.jpg"",""syl/4114llbp_01_022.jpg"",""syl/4114llbp_01_023.jpg"",""syl/4114llbp_01_024.jpg"",""syl/sylvania-4114-ll-bp2-bop-es-02.jpg"",""syl/sylvania-4114-ll-bp2-dtp-es-04.jpg"",""syl/sylvania-4114-ll-bp2-mtf-es-03.jpg"",""syl/sylvania-4114-ll-bp2-prm-es-01.jpg"",""syl/sylvania-4114-ll-bp2-wty-es-05.jpg""}'","[{""Overall Length (in)"" : ""2-1/16 Inch""}, {""Bulb Diameter (in)"" : ""1 Inch""}, {""Color Temperature (Kelvin)"" : ""2800K""}, {""Base Type"" : ""W2.5x16q""}, {""Bulb Type"" : ""Incandescent""}, {""Amperage (A)"" : ""0.59, 2.23 Amp""}, {""Wattage (W)"" : ""8.26, 31.2 Watt""}, {""Voltage (V)"" : ""12.8, 14 Volt""}, {""Bulb Family"" : ""S8""}, {""Street Legal"" : ""Yes""}, {""Light Output (Lumens)"" : ""402 Lumen""}, {""Industry Number"" : ""4114""}, {""Overall Length (mm)"" : ""52mm""}, {""Color"" : ""Clear""}, {""Number Of Filaments"" : ""2""}, {""Package Quantity"" : ""2""}, {""Light Center Length (in)"" : ""1-1/8 Inch""}, {""Light Center Length (mm)"" : ""27mm""}]"
SYL,4157LL,4157 Long Life Incandescent Mini Bulb (Pack of 10),"'{""syl/sylvania-4157-ll-bp2-bop-es-02.jpg"",""syl/sylvania-4157-ll-bp2-dtp-es-04.jpg"",""syl/sylvania-4157-ll-bp2-mtf-es-03.jpg"",""syl/sylvania-4157-ll-bp2-wty-es-05.jpg"",""syl/sylvania_basic_tenpack_sylvania_primary.jpg""}'","[{""Overall Length (in)"" : ""2-1/8 Inch""}, {""Street Legal"" : ""Yes""}, {""Bulb Family"" : ""S8""}, {""Amperage (A)"" : ""2.2 Amp""}, {""Light Output (Lumens)"" : ""402 Lumen""}, {""Industry Number"" : ""4157""}, {""Color Temperature (Kelvin)"" : ""2800K""}, {""Base Type"" : ""W2.5x16q""}, {""Bulb Type"" : ""Incandescent""}, {""Light Center Length (in)"" : ""1-1/8 Inch""}, {""Number Of Filaments"" : ""2""}, {""Color"" : ""Clear""}, {""Voltage (V)"" : ""12.8 Volt""}, {""Wattage (W)"" : ""8.3, 28.5 Watt""}, {""Bulb Diameter (in)"" : ""1 Inch""}]"
SYL,4157LLBP,4157 Long Life Incandescent Mini Bulb (Pack of 2),"'{""syl/4157llbp_01_001.jpg"",""syl/4157llbp_01_002.jpg"",""syl/4157llbp_01_003.jpg"",""syl/4157llbp_01_004.jpg"",""syl/4157llbp_01_005.jpg"",""syl/4157llbp_01_006.jpg"",""syl/4157llbp_01_007.jpg"",""syl/4157llbp_01_008.jpg"",""syl/4157llbp_01_009.jpg"",""syl/4157llbp_01_010.jpg"",""syl/4157llbp_01_011.jpg"",""syl/4157llbp_01_012.jpg"",""syl/4157llbp_01_013.jpg"",""syl/4157llbp_01_014.jpg"",""syl/4157llbp_01_015.jpg"",""syl/4157llbp_01_016.jpg"",""syl/4157llbp_01_017.jpg"",""syl/4157llbp_01_018.jpg"",""syl/4157llbp_01_019.jpg"",""syl/4157llbp_01_020.jpg"",""syl/4157llbp_01_021.jpg"",""syl/4157llbp_01_022.jpg"",""syl/4157llbp_01_023.jpg"",""syl/4157llbp_01_024.jpg"",""syl/sylvania-4157-ll-bp2-bop-es-02.jpg"",""syl/sylvania-4157-ll-bp2-dtp-es-04.jpg"",""syl/sylvania-4157-ll-bp2-mtf-es-03.jpg"",""syl/sylvania-4157-ll-bp2-prm-es-01.jpg"",""syl/sylvania-4157-ll-bp2-wty-es-05.jpg""}'","[{""Overall Length (in)"" : ""2-1/16 Inch""}, {""Bulb Diameter (in)"" : ""1 Inch""}, {""Color Temperature (Kelvin)"" : ""2800K""}, {""Base Type"" : ""W2.5x16q""}, {""Bulb Type"" : ""Incandescent""}, {""Amperage (A)"" : ""12.8 Amp""}, {""Number Of Filaments"" : ""2""}, {""Industry Number"" : ""4157""}, {""Light Output (Lumens)"" : ""402 Lumen""}, {""Bulb Family"" : ""S8""}, {""Wattage (W)"" : ""0.59, 2.23 Watt""}, {""Street Legal"" : ""Yes""}, {""Light Center Length (in)"" : ""1-1/8 Inch""}, {""Color"" : ""Clear""}, {""Voltage (V)"" : ""8.3, 26.9 Volt""}]"
SYL,4257NALLBP,Bulb; 4257NA; Incandescent; Mini; Long Life; Amber; 2 Pack,"'{""syl/4257nall_01_001.jpg"",""syl/4257nall_01_002.jpg"",""syl/4257nall_01_003.jpg"",""syl/4257nall_01_004.jpg"",""syl/4257nall_01_005.jpg"",""syl/4257nall_01_006.jpg"",""syl/4257nall_01_007.jpg"",""syl/4257nall_01_008.jpg"",""syl/4257nall_01_009.jpg"",""syl/4257nall_01_010.jpg"",""syl/4257nall_01_011.jpg"",""syl/4257nall_01_012.jpg"",""syl/4257nall_01_013.jpg"",""syl/4257nall_01_014.jpg"",""syl/4257nall_01_015.jpg"",""syl/4257nall_01_016.jpg"",""syl/4257nall_01_017.jpg"",""syl/4257nall_01_018.jpg"",""syl/4257nall_01_019.jpg"",""syl/4257nall_01_020.jpg"",""syl/4257nall_01_021.jpg"",""syl/4257nall_01_022.jpg"",""syl/4257nall_01_023.jpg"",""syl/4257nall_01_024.jpg"",""syl/sylvania-4257na-ll-bp2-bop-es-02.jpg"",""syl/sylvania-4257na-ll-bp2-dtp-es-04.jpg"",""syl/sylvania-4257na-ll-bp2-mtf-es-03.jpg"",""syl/sylvania-4257na-ll-bp2-prm-es-01.jpg"",""syl/sylvania-4257na-ll-bp2-wty-es-05.jpg""}'","[{""Number Of Filaments"" : ""2""}, {""Street Legal"" : ""Yes""}]"
SYL,5007LLBP,5007 Long Life Incandescent Mini Bulb (Pack of 2),"'{""syl/5007llbp_01_001.jpg"",""syl/5007llbp_01_002.jpg"",""syl/5007llbp_01_003.jpg"",""syl/5007llbp_01_004.jpg"",""syl/5007llbp_01_005.jpg"",""syl/5007llbp_01_006.jpg"",""syl/5007llbp_01_007.jpg"",""syl/5007llbp_01_008.jpg"",""syl/5007llbp_01_009.jpg"",""syl/5007llbp_01_010.jpg"",""syl/5007llbp_01_011.jpg"",""syl/5007llbp_01_012.jpg"",""syl/5007llbp_01_013.jpg"",""syl/5007llbp_01_014.jpg"",""syl/5007llbp_01_015.jpg"",""syl/5007llbp_01_016.jpg"",""syl/5007llbp_01_017.jpg"",""syl/5007llbp_01_018.jpg"",""syl/5007llbp_01_019.jpg"",""syl/5007llbp_01_020.jpg"",""syl/5007llbp_01_021.jpg"",""syl/5007llbp_01_022.jpg"",""syl/5007llbp_01_023.jpg"",""syl/5007llbp_01_024.jpg"",""syl/sylvania-5007-ll-bp2-bop-es-02.jpg"",""syl/sylvania-5007-ll-bp2-dtp-es-04.jpg"",""syl/sylvania-5007-ll-bp2-mtf-es-03.jpg"",""syl/sylvania-5007-ll-bp2-prm-es-01.jpg"",""syl/sylvania-5007-ll-bp2-wty-es-05.jpg""}'","[{""Street Legal"" : ""Yes""}, {""Bulb Diameter (in)"" : ""3/4 Inch""}, {""Overall Length (in)"" : ""1-1/2 Inch""}, {""Color"" : ""Clear""}, {""Color Temperature (Kelvin)"" : ""2800K""}, {""Voltage (V)"" : ""12 Volt""}, {""Wattage (W)"" : ""5 Watt""}, {""Number Of Filaments"" : ""1""}, {""Bulb Type"" : ""Incandescent""}, {""Light Center Length (in)"" : ""3/4 Inch""}, {""Base Type"" : ""BA15s""}, {""Amperage (A)"" : ""0.41 Amp""}, {""Bulb Family"" : ""C2R""}, {""Industry Number"" : ""5007""}, {""Light Output (Lumens)"" : ""50 Lumen""}]"
SYL,5008LLBP,5008 Long Life Incandescent Mini Bulb (Pack of 2),"'{""syl/5008llbp_01_001.jpg"",""syl/5008llbp_01_002.jpg"",""syl/5008llbp_01_003.jpg"",""syl/5008llbp_01_004.jpg"",""syl/5008llbp_01_005.jpg"",""syl/5008llbp_01_006.jpg"",""syl/5008llbp_01_007.jpg"",""syl/5008llbp_01_008.jpg"",""syl/5008llbp_01_009.jpg"",""syl/5008llbp_01_010.jpg"",""syl/5008llbp_01_011.jpg"",""syl/5008llbp_01_012.jpg"",""syl/5008llbp_01_013.jpg"",""syl/5008llbp_01_014.jpg"",""syl/5008llbp_01_015.jpg"",""syl/5008llbp_01_016.jpg"",""syl/5008llbp_01_017.jpg"",""syl/5008llbp_01_018.jpg"",""syl/5008llbp_01_019.jpg"",""syl/5008llbp_01_020.jpg"",""syl/5008llbp_01_021.jpg"",""syl/5008llbp_01_022.jpg"",""syl/5008llbp_01_023.jpg"",""syl/5008llbp_01_024.jpg"",""syl/sylvania-5008-ll-bp2-bop-es-02.jpg"",""syl/sylvania-5008-ll-bp2-dtp-es-04.jpg"",""syl/sylvania-5008-ll-bp2-mtf-es-03.jpg"",""syl/sylvania-5008-ll-bp2-prm-es-01.jpg"",""syl/sylvania-5008-ll-bp2-wty-es-05.jpg""}'","[{""Bulb Family"" : ""T6""}, {""Overall Length (in)"" : ""1-1/2 Inch""}, {""Number Of Filaments"" : ""1""}, {""Base Type"" : ""BA15s""}, {""Light Center Length (in)"" : ""3/4 Inch""}, {""Bulb Type"" : ""Incandescent""}, {""Light Output (Lumens)"" : ""126 Lumen""}, {""Industry Number"" : ""5008""}, {""Amperage (A)"" : ""0.83 Amp""}, {""Color"" : ""Clear""}, {""Street Legal"" : ""Yes""}, {""Bulb Diameter (in)"" : ""3/4 Inch""}, {""Voltage (V)"" : ""12 Volt""}, {""Color Temperature (Kelvin)"" : ""2800K""}, {""Wattage (W)"" : ""10 Watt""}]"
SYL,5201BP,5201 Basic Halogen Fog Light Bulb (Pack of 1),"'{""syl/5201bp_01_001.jpg"",""syl/5201bp_01_002.jpg"",""syl/5201bp_01_003.jpg"",""syl/5201bp_01_004.jpg"",""syl/5201bp_01_005.jpg"",""syl/5201bp_01_006.jpg"",""syl/5201bp_01_007.jpg"",""syl/5201bp_01_008.jpg"",""syl/5201bp_01_009.jpg"",""syl/5201bp_01_010.jpg"",""syl/5201bp_01_011.jpg"",""syl/5201bp_01_012.jpg"",""syl/5201bp_01_013.jpg"",""syl/5201bp_01_014.jpg"",""syl/5201bp_01_015.jpg"",""syl/5201bp_01_016.jpg"",""syl/5201bp_01_017.jpg"",""syl/5201bp_01_018.jpg"",""syl/5201bp_01_019.jpg"",""syl/5201bp_01_020.jpg"",""syl/5201bp_01_021.jpg"",""syl/5201bp_01_022.jpg"",""syl/5201bp_01_023.jpg"",""syl/5201bp_01_024.jpg"",""syl/sylvania-5201-bp-dtp-es-05.jpg"",""syl/sylvania-5201-bp-mtf-es-04.jpg"",""syl/sylvania-5201-bp-opt-es-03.jpg"",""syl/sylvania-5201-bp-prm-es-01.jpg"",""syl/sylvania-5201-bp-rip-es-06.jpg"",""syl/sylvania-5201-bp-wty-es-07.jpg""}'","[{""Light Center Length (in)"" : ""15/16 Inch""}, {""Overall Length (mm)"" : ""48mm""}, {""Bulb Diameter (in)"" : ""3/4 Inch""}, {""Number Of Filaments"" : ""1""}, {""Industry Number"" : ""5201""}, {""Overall Length (in)"" : ""1-7/8 Inch""}, {""Color"" : ""Clear""}, {""Bulb Type"" : ""Incandescent""}, {""Base Type"" : ""PG20-1""}, {""Bulb Diameter (mm)"" : ""19mm""}, {""Light Output (Lumens)"" : ""500 Lumen""}, {""Color Temperature (Kelvin)"" : ""2800K""}, {""Wattage (W)"" : ""19 Watt""}, {""Street Legal"" : ""Yes""}, {""Bulb Family"" : ""G6""}, {""Voltage (V)"" : ""12.8 Volt""}, {""Amperage (A)"" : ""1.48 Amp""}]"
